Date,taAvg,taMin,taMax,rain,whAvg,whHigh,YN
2021-11-28,9.757142857142856,6.714285714285714,13.77142857142857,0.0,0.11428571428571425,0.5285714285714287,0
2021-11-29,9.114285714285714,5.971428571428571,13.514285714285714,0.0,0.12857142857142853,0.5571428571428573,0
2021-11-30,9.442857142857141,6.299999999999999,13.671428571428573,0.0,0.11428571428571425,0.5142857142857145,0
2021-12-01,10.142857142857142,6.485714285714286,14.585714285714285,2.357142857142853,0.12857142857142856,0.5285714285714287,0
2021-12-02,9.257142857142856,5.8428571428571425,13.571428571428571,2.357142857142853,0.14285714285714282,0.5571428571428573,0
2021-12-03,8.242857142857142,4.571428571428571,12.614285714285714,2.357142857142853,0.14285714285714282,0.5285714285714287,0
2021-12-04,8.028571428571428,4.2,12.299999999999999,2.357142857142853,0.14285714285714282,0.5285714285714287,0
2021-12-05,7.714285714285714,3.757142857142857,11.828571428571427,2.357142857142853,0.14285714285714285,0.5285714285714287,0
2021-12-06,7.457142857142857,3.4571428571428577,11.185714285714285,2.357142857142853,0.14285714285714282,0.5285714285714287,0
2021-12-07,7.442857142857143,3.8285714285714287,11.042857142857143,2.357142857142853,0.1571428571428571,0.5714285714285715,0
2021-12-08,7.485714285714286,4.142857142857143,10.957142857142856,0.0,0.14285714285714285,0.5285714285714287,0
2021-12-09,8.385714285714284,5.171428571428572,11.957142857142857,0.0,0.14285714285714282,0.5142857142857145,0
2021-12-10,9.185714285714285,6.271428571428571,12.414285714285715,0.0,0.1714285714285714,0.5428571428571429,0
2021-12-11,9.785714285714286,7.0,13.028571428571427,0.0,0.1714285714285714,0.5428571428571429,0
2021-12-12,10.299999999999999,7.642857142857143,13.557142857142859,0.0,0.17142857142857143,0.5428571428571429,0
2021-12-13,10.214285714285714,7.200000000000001,13.757142857142858,0.0,0.1714285714285714,0.5571428571428573,0
2021-12-14,8.957142857142857,5.742857142857142,12.62857142857143,0.0,0.1714285714285714,0.5428571428571429,0
